Input	Input Type	MGI Gene/Marker ID	Symbol	Name	Feature Type	Ensembl ID	Entrez Gene ID
1110032A03Rik	current symbol	MGI:1915971	1110032A03Rik	RIKEN cDNA 1110032A03 gene	protein coding gene	ENSMUSG00000037971	68721
1700016K19Rik	current symbol	MGI:1921480	1700016K19Rik	RIKEN cDNA 1700016K19 gene	protein coding gene	ENSMUSG00000053783	74230
1700020I14Rik		No associated gene					
2010300C02Rik		No associated gene					
2310061I04Rik	current symbol	MGI:1916912	2310061I04Rik	RIKEN cDNA 2310061I04 gene	protein coding gene	ENSMUSG00000050705	69662
2510039O18Rik	current symbol	MGI:1924284	2510039O18Rik	RIKEN cDNA 2510039O18 gene	protein coding gene	ENSMUSG00000044496	77034
2610002M06Rik	current symbol	MGI:1914278	2610002M06Rik	RIKEN cDNA 2610002M06 gene	protein coding gene	ENSMUSG00000031242	67028
2810006K23Rik	current symbol	MGI:1919900	2810006K23Rik	RIKEN cDNA 2810006K23 gene	protein coding gene	ENSMUSG00000047635	72650
2900052N01Rik	current symbol	MGI:1920290	2900052N01Rik	RIKEN cDNA 2900052N01 gene	lncRNA gene	ENSMUSG00000099696	73040
2900097C17Rik		No associated gene					
4833422C13Rik	current symbol	MGI:3603826	4833422C13Rik	RIKEN cDNA 4833422C13 gene	lncRNA gene	ENSMUSG00000074782	373852
4930452B06Rik		No associated gene					
4930539E08Rik		No associated gene					
6820408C15Rik	current symbol	MGI:3045333	6820408C15Rik	RIKEN cDNA 6820408C15 gene	protein coding gene	ENSMUSG00000032680	228778
9330102E08Rik	current symbol	MGI:3026973	9330102E08Rik	RIKEN cDNA 9330102E08 gene	lncRNA gene	ENSMUSG00000107879	330427
9530026P05Rik	current symbol	MGI:1924659	9530026P05Rik	RIKEN cDNA 9530026P05 gene	lncRNA gene	ENSMUSG00000097462	330385
9630001P10Rik	current symbol	MGI:2441755	9630001P10Rik	RIKEN cDNA 9630001P10 gene	lncRNA gene	ENSMUSG00000097825	319251
A130010J15Rik	current symbol	MGI:2441776	A130010J15Rik	RIKEN cDNA A130010J15 gene	protein coding gene	ENSMUSG00000079144	319266
A230077H06Rik	current symbol	MGI:2443592	A230077H06Rik	RIKEN cDNA A230077H06 gene	lncRNA gene	ENSMUSG00000100600	320210
A830082N09Rik	current symbol	MGI:3041184	A830082N09Rik	RIKEN cDNA A830082N09 gene	lncRNA gene	ENSMUSG00000112280	414093
A930011G23Rik	current symbol	MGI:2442790	A930011G23Rik	RIKEN cDNA A930011G23 gene	lncRNA gene		319818
Aars	current symbol	MGI:2384560	Aars	alanyl-tRNA synthetase	protein coding gene	ENSMUSG00000031960	234734
Abca8a	current symbol	MGI:2386846	Abca8a	ATP-binding cassette, sub-family A (ABC1), member 8a	protein coding gene	ENSMUSG00000041828	217258
